model_id,task_id,test_idx,H,W,pixels_total,pixels_correct,exact_match,pixel_accuracy
random_init(params=8862540),0934a4d8,0,30,30,900,2,0,0.0022222222222222222
random_init(params=8862540),135a2760,0,29,29,841,32,0,0.03804994054696789
random_init(params=8862540),136b0064,0,19,15,285,0,0,0.0
random_init(params=8862540),13e47133,0,30,30,900,16,0,0.017777777777777778
random_init(params=8862540),13e47133,1,30,30,900,157,0,0.17444444444444446
random_init(params=8862540),142ca369,0,20,19,380,15,0,0.039473684210526314
random_init(params=8862540),142ca369,1,20,19,380,1,0,0.002631578947368421
random_init(params=8862540),16b78196,0,30,30,900,5,0,0.005555555555555556
random_init(params=8862540),16de56c4,0,9,21,189,6,0,0.031746031746031744
random_init(params=8862540),16de56c4,1,9,21,189,10,0,0.05291005291005291
random_init(params=8862540),1818057f,0,22,22,484,9,0,0.01859504132231405
random_init(params=8862540),195c6913,0,30,30,900,37,0,0.04111111111111111
random_init(params=8862540),195c6913,1,30,30,900,428,0,0.47555555555555556
random_init(params=8862540),1ae2feb7,0,10,20,200,2,0,0.01
random_init(params=8862540),1ae2feb7,1,10,20,200,2,0,0.01
random_init(params=8862540),1ae2feb7,2,10,20,200,10,0,0.05
random_init(params=8862540),20270e3b,0,11,10,110,8,0,0.07272727272727272
random_init(params=8862540),20270e3b,1,11,10,110,7,0,0.06363636363636363
random_init(params=8862540),20a9e565,0,30,30,900,0,0,0.0
random_init(params=8862540),20a9e565,1,30,30,900,0,0,0.0
random_init(params=8862540),21897d95,0,30,30,900,14,0,0.015555555555555555
random_init(params=8862540),21897d95,1,30,30,900,1,0,0.0011111111111111111
random_init(params=8862540),221dfab4,0,30,30,900,18,0,0.02
random_init(params=8862540),221dfab4,1,30,30,900,3,0,0.0033333333333333335
random_init(params=8862540),247ef758,0,15,20,300,25,0,0.08333333333333333
random_init(params=8862540),247ef758,1,15,20,300,6,0,0.02
random_init(params=8862540),269e22fb,0,20,20,400,8,0,0.02
random_init(params=8862540),269e22fb,1,20,20,400,3,0,0.0075
random_init(params=8862540),271d71e2,0,26,26,676,37,0,0.05473372781065089
random_init(params=8862540),28a6681f,0,10,10,100,7,0,0.07
random_init(params=8862540),291dc1e1,0,28,8,224,22,0,0.09821428571428571
random_init(params=8862540),2b83f449,0,19,17,323,0,0,0.0
random_init(params=8862540),2ba387bc,0,24,19,456,3,0,0.006578947368421052
random_init(params=8862540),2c181942,0,24,26,624,4,0,0.00641025641025641
random_init(params=8862540),2d0172a1,0,25,25,625,52,0,0.0832
random_init(params=8862540),2d0172a1,1,25,25,625,1,0,0.0016
random_init(params=8862540),31f7f899,0,17,17,289,2,0,0.006920415224913495
random_init(params=8862540),332f06d7,0,20,20,400,0,0,0.0
random_init(params=8862540),35ab12c3,0,21,21,441,11,0,0.024943310657596373
random_init(params=8862540),36a08778,0,30,30,900,0,0,0.0
random_init(params=8862540),36a08778,1,30,30,900,9,0,0.01
random_init(params=8862540),38007db0,0,29,29,841,4,0,0.0047562425683709865
random_init(params=8862540),38007db0,1,29,29,841,0,0,0.0
random_init(params=8862540),3a25b0d8,0,30,30,900,14,0,0.015555555555555555
random_init(params=8862540),3a25b0d8,1,30,30,900,10,0,0.011111111111111112
random_init(params=8862540),3dc255db,0,12,13,156,10,0,0.0641025641025641
random_init(params=8862540),3e6067c3,0,30,30,900,6,0,0.006666666666666667
random_init(params=8862540),3e6067c3,1,30,30,900,22,0,0.024444444444444446
random_init(params=8862540),409aa875,0,16,16,256,10,0,0.0390625
random_init(params=8862540),446ef5d2,0,26,26,676,56,0,0.08284023668639054
random_init(params=8862540),446ef5d2,1,26,26,676,67,0,0.09911242603550297
random_init(params=8862540),45a5af55,0,26,26,676,23,0,0.034023668639053255
random_init(params=8862540),4a21e3da,0,20,20,400,0,0,0.0
random_init(params=8862540),4c3d4a41,0,8,20,160,1,0,0.00625
random_init(params=8862540),4c3d4a41,1,8,20,160,1,0,0.00625
random_init(params=8862540),4c416de3,0,19,22,418,0,0,0.0
random_init(params=8862540),4c7dc4dd,0,30,30,900,1,0,0.0011111111111111111
random_init(params=8862540),4c7dc4dd,1,30,30,900,1,0,0.0011111111111111111
random_init(params=8862540),4e34c42c,0,26,20,520,5,0,0.009615384615384616
random_init(params=8862540),4e34c42c,1,26,20,520,8,0,0.015384615384615385
random_init(params=8862540),53fb4810,0,25,18,450,5,0,0.011111111111111112
random_init(params=8862540),5545f144,0,15,15,225,3,0,0.013333333333333334
random_init(params=8862540),581f7754,0,14,22,308,2,0,0.006493506493506494
random_init(params=8862540),581f7754,1,14,22,308,25,0,0.08116883116883117
random_init(params=8862540),58490d8a,0,22,25,550,0,0,0.0
random_init(params=8862540),58f5dbd5,0,19,23,437,21,0,0.04805491990846682
random_init(params=8862540),5961cc34,0,27,27,729,3,0,0.00411522633744856
random_init(params=8862540),5dbc8537,0,25,25,625,22,0,0.0352
random_init(params=8862540),5dbc8537,1,25,25,625,11,0,0.0176
random_init(params=8862540),62593bfd,0,25,28,700,1,0,0.0014285714285714286
random_init(params=8862540),62593bfd,1,25,28,700,474,0,0.6771428571428572
random_init(params=8862540),64efde09,0,29,29,841,50,0,0.059453032104637336
random_init(params=8862540),65b59efc,0,25,30,750,32,0,0.042666666666666665
random_init(params=8862540),65b59efc,1,25,30,750,31,0,0.04133333333333333
random_init(params=8862540),67e490f4,0,30,30,900,66,0,0.07333333333333333
random_init(params=8862540),6e453dd6,0,25,12,300,0,0,0.0
random_init(params=8862540),6e4f6532,0,30,28,840,31,0,0.036904761904761905
random_init(params=8862540),6e4f6532,1,30,28,840,5,0,0.005952380952380952
random_init(params=8862540),6ffbe589,0,20,20,400,2,0,0.005
random_init(params=8862540),71e489b6,0,18,19,342,0,0,0.0
random_init(params=8862540),71e489b6,1,18,19,342,0,0,0.0
random_init(params=8862540),7491f3cf,0,7,25,175,3,0,0.017142857142857144
random_init(params=8862540),7666fa5d,0,16,16,256,25,0,0.09765625
random_init(params=8862540),78332cb0,0,23,23,529,15,0,0.02835538752362949
random_init(params=8862540),78332cb0,1,23,23,529,5,0,0.00945179584120983
random_init(params=8862540),7b0280bc,0,30,30,900,112,0,0.12444444444444444
random_init(params=8862540),7b3084d4,0,20,20,400,0,0,0.0
random_init(params=8862540),7b5033c1,0,25,16,400,0,0,0.0
random_init(params=8862540),7b80bb43,0,29,17,493,55,0,0.11156186612576065
random_init(params=8862540),7c66cb00,0,30,24,720,0,0,0.0
random_init(params=8862540),7ed72f31,0,28,28,784,1,0,0.0012755102040816326
random_init(params=8862540),7ed72f31,1,28,28,784,7,0,0.008928571428571428
random_init(params=8862540),800d221b,0,30,30,900,13,0,0.014444444444444444
random_init(params=8862540),80a900e0,0,22,21,462,12,0,0.025974025974025976
random_init(params=8862540),8698868d,0,30,30,900,37,0,0.04111111111111111
random_init(params=8862540),88bcf3b4,0,27,27,729,9,0,0.012345679012345678
random_init(params=8862540),88bcf3b4,1,27,27,729,10,0,0.013717421124828532
random_init(params=8862540),88e364bc,0,20,20,400,0,0,0.0
random_init(params=8862540),88e364bc,1,20,20,400,2,0,0.005
random_init(params=8862540),89565ca0,0,29,30,870,5,0,0.005747126436781609
random_init(params=8862540),898e7135,0,30,30,900,189,0,0.21
random_init(params=8862540),8b7bacbf,0,30,30,900,96,0,0.10666666666666667
random_init(params=8862540),8b7bacbf,1,30,30,900,34,0,0.03777777777777778
random_init(params=8862540),8b9c3697,0,23,27,621,1,0,0.001610305958132045
random_init(params=8862540),8e5c0c38,0,22,22,484,1,0,0.002066115702479339
random_init(params=8862540),8e5c0c38,1,22,22,484,37,0,0.07644628099173553
random_init(params=8862540),8f215267,0,27,23,621,13,0,0.020933977455716585
random_init(params=8862540),8f3a5a89,0,12,12,144,0,0,0.0
random_init(params=8862540),9385bd28,0,19,19,361,137,0,0.37950138504155123
random_init(params=8862540),9385bd28,1,19,19,361,2,0,0.00554016620498615
random_init(params=8862540),97d7923e,0,10,20,200,4,0,0.02
random_init(params=8862540),981571dc,0,30,30,900,104,0,0.11555555555555555
random_init(params=8862540),9aaea919,0,30,30,900,68,0,0.07555555555555556
random_init(params=8862540),9bbf930d,0,23,21,483,33,0,0.06832298136645963
random_init(params=8862540),a251c730,0,30,30,900,0,0,0.0
random_init(params=8862540),a25697e4,0,30,30,900,46,0,0.051111111111111114
random_init(params=8862540),a25697e4,1,30,30,900,12,0,0.013333333333333334
random_init(params=8862540),a32d8b75,0,30,30,900,281,0,0.31222222222222223
random_init(params=8862540),a32d8b75,1,30,30,900,23,0,0.025555555555555557
random_init(params=8862540),a395ee82,0,22,22,484,3,0,0.006198347107438017
random_init(params=8862540),a47bf94d,0,26,26,676,39,0,0.057692307692307696
random_init(params=8862540),a6f40cea,0,24,24,576,2,0,0.003472222222222222
random_init(params=8862540),aa4ec2a5,0,26,27,702,35,0,0.04985754985754986
random_init(params=8862540),abc82100,0,20,20,400,8,0,0.02
random_init(params=8862540),b0039139,0,26,29,754,9,0,0.011936339522546418
random_init(params=8862540),b0039139,1,26,29,754,0,0,0.0
random_init(params=8862540),b10624e5,0,27,27,729,87,0,0.11934156378600823
random_init(params=8862540),b5ca7ac4,0,22,22,484,253,0,0.5227272727272727
random_init(params=8862540),b6f77b65,0,12,12,144,3,0,0.020833333333333332
random_init(params=8862540),b6f77b65,1,12,12,144,3,0,0.020833333333333332
random_init(params=8862540),b99e7126,0,29,29,841,228,0,0.27110582639714625
random_init(params=8862540),b9e38dc0,0,15,19,285,1,0,0.0035087719298245615
random_init(params=8862540),bf45cf4b,0,25,25,625,24,0,0.0384
random_init(params=8862540),c4d067a0,0,27,27,729,0,0,0.0
random_init(params=8862540),c7f57c3e,0,28,28,784,8,0,0.01020408163265306
random_init(params=8862540),cb2d8a2c,0,29,26,754,3,0,0.003978779840848806
random_init(params=8862540),cb2d8a2c,1,29,26,754,5,0,0.006631299734748011
random_init(params=8862540),cbebaa4b,0,26,26,676,10,0,0.014792899408284023
random_init(params=8862540),cbebaa4b,1,26,26,676,6,0,0.008875739644970414
random_init(params=8862540),d35bdbdc,0,10,10,100,1,0,0.01
random_init(params=8862540),d35bdbdc,1,10,10,100,3,0,0.03
random_init(params=8862540),d35bdbdc,2,10,10,100,1,0,0.01
random_init(params=8862540),d59b0160,0,16,16,256,2,0,0.0078125
random_init(params=8862540),d8e07eb2,0,30,22,660,19,0,0.02878787878787879
random_init(params=8862540),d8e07eb2,1,30,22,660,22,0,0.03333333333333333
random_init(params=8862540),da515329,0,26,26,676,15,0,0.022189349112426034
random_init(params=8862540),db0c5428,0,17,17,289,4,0,0.01384083044982699
random_init(params=8862540),db695cfb,0,25,21,525,2,0,0.0038095238095238095
random_init(params=8862540),dbff022c,0,13,13,169,2,0,0.011834319526627219
random_init(params=8862540),dd6b8c4b,0,11,11,121,9,0,0.0743801652892562
random_init(params=8862540),dd6b8c4b,1,11,11,121,11,0,0.09090909090909091
random_init(params=8862540),de809cff,0,30,30,900,0,0,0.0
random_init(params=8862540),dfadab01,0,20,20,400,0,0,0.0
random_init(params=8862540),e12f9a14,0,30,30,900,57,0,0.06333333333333334
random_init(params=8862540),e12f9a14,1,30,30,900,29,0,0.03222222222222222
random_init(params=8862540),e3721c99,0,30,30,900,4,0,0.0044444444444444444
random_init(params=8862540),e3721c99,1,30,30,900,2,0,0.0022222222222222222
random_init(params=8862540),e376de54,0,16,16,256,0,0,0.0
random_init(params=8862540),e8686506,0,15,15,225,3,0,0.013333333333333334
random_init(params=8862540),e87109e9,0,30,24,720,186,0,0.25833333333333336
random_init(params=8862540),edb79dae,0,30,30,900,42,0,0.04666666666666667
random_init(params=8862540),eee78d87,0,16,16,256,4,0,0.015625
random_init(params=8862540),f560132c,0,26,26,676,3,0,0.004437869822485207
random_init(params=8862540),f931b4a8,0,10,8,80,0,0,0.0
random_init(params=8862540),f931b4a8,1,10,8,80,1,0,0.0125
random_init(params=8862540),faa9f03d,0,12,12,144,0,0,0.0
random_init(params=8862540),fc7cae8d,0,29,29,841,33,0,0.039239001189060645
